ID,alternativeTitle,contactDetails,country,creationDate,creator,description,endDate,format,formatDetails,function,isbn,issn,language,name,releaseDate,sourceRecordLink,startDate,subTitle,title,type,url
Q27864184,,,Canada,,Yan England,,,video on demand,Canada,,,,French,1:54,2016-10-13,http://www.wikidata.org/entity/Q27864184,,,,Feature film,
Q2815812,,,Canada,,Dany Papineau,,,,Canada,,,,English,2 Frogs in the West,2010-01-01,http://www.wikidata.org/entity/Q2815812,,,,Feature film,
Q4030599,,,Canada,,Manon Briand,,,video on demand,Canada,,,,French,2 secondes,1998-12-09,http://www.wikidata.org/entity/Q4030599,,,,Feature film,
Q66305377,,,Canada,,Tori Foster,,,,Canada,,,,English,533 Statements,2006-01-01,http://www.wikidata.org/entity/Q66305377,,,,Feature film,
Q43302520,,,Canada,,,,,,Canada,,,,,A Kind of Family,1992-01-01,http://www.wikidata.org/entity/Q43302520,,,,Feature film,
Q42838038,,,Canada,,,,,video on demand,Canada,,,,English,A Worthy Companion,2018-03-16,http://www.wikidata.org/entity/Q42838038,,,,Feature film,
Q21648676,,,Canada,,Sarah Rotella,,,video on demand,Canada,,,,English,Almost Adults,2016-01-01,http://www.wikidata.org/entity/Q21648676,,,,Feature film,
Q2843751,,,Canada,,Denis Langlois,,,,Canada,,,,French,Amnesia: The James Brighton Enigma,2005-01-01,http://www.wikidata.org/entity/Q2843751,,,,Feature film,
Q2851304,,,Canada,,Lea Pool,,,,Canada,,,,French,Anne Trister,1986-01-01,http://www.wikidata.org/entity/Q2851304,,,,Feature film,
Q2307542,,,Canada,,Michael Keusch,,,video on demand,Canada,,,,English,Anything for Love,1993-01-01,http://www.wikidata.org/entity/Q2307542,,,,Feature film,
Q33109,,,Canada,,Tanaz Eshaghian,,,video on demand,Canada,,,,Persian,Be Like Others,2008-01-01,http://www.wikidata.org/entity/Q33109,,,,Feature film,
Q2894921,,,Canada,,Thom Fitzgerald,,,,Canada,,,,English,Beefcake,1998-01-01,http://www.wikidata.org/entity/Q2894921,,,,Feature film,
Q26720642,,,Canada,,April Mullen,,,video on demand,Canada,,,,English,Below Her Mouth,2016-10-09,http://www.wikidata.org/entity/Q26720642,,,,Feature film,
Q832444,,,Canada,,Anne Wheeler,,,video on demand,Canada,,,,English,Better Than Chocolate,1999-01-01,http://www.wikidata.org/entity/Q832444,,,,Feature film,
Q4899974,,,Canada,,Bob Christie,,,,Canada,,,,English,Beyond Gay: The Politics of Pride,2009-01-01,http://www.wikidata.org/entity/Q4899974,,,,Feature film,
Q55605613,,,Canada,,Jerry Ciccoritti,,,,Canada,,,,English,Blood,2004-01-01,http://www.wikidata.org/entity/Q55605613,,,,Feature film,
Q4955742,,,Canada,,Kelly Makin,,,,Canada,,,,English,Brain Candy,1996-01-01,http://www.wikidata.org/entity/Q4955742,,,,Feature film,
Q667955,,,Canada,,Laurie Lynd,,,video on demand,Canada,,,,English,Breakfast with Scot,2007-01-01,http://www.wikidata.org/entity/Q667955,,,,Feature film,
Q486597,,,Canada,,Hugh Wilson,,,video on demand,Canada,,,,English,Burglar,1987-01-01,http://www.wikidata.org/entity/Q486597,,,,Feature film,
Q1022379,,,Canada,,Jean-Marc Vallee,,,video on demand,Canada,,,,French,C.R.A.Z.Y.,2005-01-01,http://www.wikidata.org/entity/Q1022379,,,,Feature film,
Q2937125,,,Canada,,Michel Langlois,,,,Canada,,,,French,Cap Tourmente,1993-05-02,http://www.wikidata.org/entity/Q2937125,,,,Feature film,
Q463615,,,Canada,,Bennett Miller,,,video on demand,Canada,,,,English,Capote,2005-01-01,http://www.wikidata.org/entity/Q463615,,,,Feature film,
Q1075182,,,Canada,,Atom Egoyan,,,video on demand,Canada,,,,English,Chloe,2009-01-01,http://www.wikidata.org/entity/Q1075182,,,,Feature film,
